เลขที่ CIF,วันที่ประเมิน,Grade,การจัดส่ง
750398494,5/10/2566 0:00,8.CC,ส่งเเล้ว_CR
nan,5/9/2566 0:00,6.B+,ส่งเเล้ว_CR
750716062,30/5/2566,6.B+,ส่งเเล้ว_CR
750382531,25/5/2566,4.BBB,ส่งเเล้ว_CR
730008234,31/5/2566,19.sCCC,ส่งเเล้ว_CR
730008234,6/7/2566 0:00,19.sCCC,ส่งเเล้ว_CR
730021227,15/5/2566,19.sCCC,ส่งเเล้ว_CR
750708916,6/12/2566 0:00,21.sC+,ส่งเเล้ว_CR
750719541,6/12/2566 0:00,17.sBB,ส่งเเล้ว_CR
360002322,19/6/2566,17.sBB,ส่งเเล้ว_CR
610001657,24/5/2566,20.sCC,ส่งเเล้ว_CR
750968080,26/5/2566,17.sBB,ส่งเเล้ว_CR
670005427,26/5/2566,16.sBBB,ส่งเเล้ว_CR
750755559,19/5/2566,18.sB+,ส่งเเล้ว_CR
750662824,19/5/2566,17.sBB,ส่งเเล้ว_CR
750383321,31/5/2566,19.sCCC,ส่งเเล้ว_CR
750461820,24/5/2566,18.sB+,ส่งเเล้ว_CR
nan,16/5/2566,18.sB+,ส่งเเล้ว_CR
nan,26/5/2566,16.sBBB,ส่งเเล้ว_CR
730005789,25/5/2566,19.sCCC,ส่งเเล้ว_CR
nan,6/6/2566 0:00,18.sB+,ส่งเเล้ว_CR
nan,30/5/2566,16.sBBB,ส่งเเล้ว_CR
750905528,6/1/2566 0:00,17.sBB,ส่งเเล้ว_CR
750852917,22/5/2566,17.sBB,ส่งเเล้ว_CR
750562727,29/5/2566,16.sBBB,ส่งเเล้ว_CR
750552285,13/6/2566,16.sBBB,ส่งเเล้ว_CR
750912432,6/8/2566 0:00,16.sBBB,ส่งเเล้ว_CR
750054253,6/7/2566 0:00,17.sBB,ส่งเเล้ว_CR
750326494,nan,16.sBBB,ส่งเเล้ว_CR
750104052,6/2/2566 0:00,19.sCCC,ส่งเเล้ว_CR
730016152,21/6/2566,15.sA+,ส่งเเล้ว_CR
750375083,29/5/2566,19.sCCC,ส่งเเล้ว_CR
750756300,22/6/2566,21.sC+,ส่งเเล้ว_CR
750433824,6/6/2566 0:00,16.sBBB,ส่งเเล้ว_CR
750968080,6/6/2566 0:00,18.sB+,ส่งเเล้ว_CR
730011282,6/12/2566 0:00,16.sBBB,ส่งเเล้ว_CR
750648988,6/9/2566 0:00,18.sB+,ส่งเเล้ว_CR
750764562,22/6/2566,21.sC+,ส่งเเล้ว_CR
