เลขที่ CIF,วันที่ประเมิน,Grade,การจัดส่ง
750792563,25/10/2564 0:00,9.C+,ส่งเเล้ว
750935383,13/12/2564 0:00,6.B+,ส่งเเล้ว
750937195,15/12/2564,6.B+,ส่งเเล้ว
750897863,13/12/2564 0:00,3.A+,ส่งเเล้ว
750602275,9/10/2564 0:00,BB,ส่งเเล้ว
750080392,6/4/2564 0:00,7.CCC,ส่งเเล้ว
530006666,9/2/2564 0:00,5.BB,ส่งเเล้ว
680008224,15/10/2564,7.CCC,ส่งเเล้ว
750382531,17/9/2564,6.B+,ส่งเเล้ว
750748204,6/1/2564 0:00,sB+,ส่งเเล้ว
750630405,19/1/2564 0:00,sB+,ส่งเเล้ว
670000672,4/1/2564 0:00,sA+,ส่งเเล้ว
360001458,18/1/2564 0:00,sA+,ส่งเเล้ว
nan,12/1/2564 0:00,sC+,ส่งเเล้ว
750061736,1/2/2564 0:00,sCC,ส่งเเล้ว
490000217,11/1/2564 0:00,sBBB,ส่งเเล้ว
670000686,21/1/2564 0:00,sBBB,ส่งเเล้ว
750807665,22/1/2564 0:00,sBB,ส่งเเล้ว
750241764,19/2/2564 0:00,sB+,ส่งเเล้ว
750761041,22/2/2564 0:00,sBBB,ส่งเเล้ว
nan,15/2/2564 0:00,sBBB,ส่งเเล้ว
nan,22/2/2564 0:00,sB+,ส่งเเล้ว
750677912,27/1/2564 0:00,sCCC,ส่งเเล้ว
750851563,15/2/2564 0:00,sCC,ส่งเเล้ว
750013615,8/2/2564 0:00,sBBB,ส่งเเล้ว
750852910,4/3/2564 0:00,sCC,ส่งเเล้ว
550001975,2/2/2564 0:00,sBB,ส่งเเล้ว
750622105,19/3/2564 0:00,sB+,ส่งเเล้ว
750421742,8/3/2564 0:00,sBB,ส่งเเล้ว
360002322,17/3/2564 0:00,sDDD,ส่งเเล้ว
750241764,28/4/2564 0:00,sCCC,ส่งเเล้ว
nan,5/5/2564 0:00,sBBB,ส่งเเล้ว
610025253,21/4/2564 0:00,sB+,ส่งเเล้ว
540006968,21/4/2564 0:00,sB+,ส่งเเล้ว
690000293,27/1/2564 0:00,sBB,ส่งเเล้ว
nan,11/1/2564 0:00,sA+,ส่งเเล้ว
520000466,30/8/2564,sC+,ส่งเเล้ว
7.5077E+17,17/9/2564,sCC,ส่งเเล้ว
670007676,24/8/2564,sCC,ส่งเเล้ว
680001860,25/8/2564,sA+,ส่งเเล้ว
750898940,26/8/2564,sCC,ส่งเเล้ว
750739745,9/1/2564 0:00,sB+,ส่งเเล้ว
390004832,9/3/2564 0:00,sCCC,ส่งเเล้ว
750428998,31/8/2564,sCCC,ส่งเเล้ว
0,16/9/2564,sC+,ส่งเเล้ว
75071418,9/10/2564 0:00,sCC,ส่งเเล้ว
510000449,29/9/2564,15.sA+,ส่งเเล้ว
750709134,13/9/2564,18.sB+,ส่งเเล้ว
750326363,8/11/2564 0:00,16.sBBB,ส่งเเล้ว
6.20E+26,28/10/2564,16.sBBB,ส่งเเล้ว
750438636,19/10/2564,21.sC+,ส่งเเล้ว
750896232,21/10/2564,18.sB+,ส่งเเล้ว
690000293,20/10/2564,18.sB+,ส่งเเล้ว
nan,16/11/2564,17.sBB,ส่งเเล้ว
750787339,11/5/2564 0:00,22.sDDD,ส่งเเล้ว
750687431,12/8/2564 0:00,18.sB+,ส่งเเล้ว
750853485,14/12/2564,18.sB+,ส่งเเล้ว
750748204,14/12/2564,17.sBB,ส่งเเล้ว
