วันที่ประเมิน,วันที่ประเมิน_adjust
16/9/2564,2021-09-16
16/9/2564,2021-09-16
17/8/2564,2021-08-17
2564-04-10 00:00:00,2021-04-10
27/10/2564,2021-10-27
2564-10-11 00:00:00,2021-10-11
22/11/2564,2021-11-22
2564-02-12 00:00:00,2021-02-12
2564-02-12 00:00:00,2021-02-12
16/12/2564,2021-12-16
30/11/2564,2021-11-30
2564-03-12 00:00:00,2021-03-12
28/12/2564,2021-12-28
2564-04-28 00:00:00,2021-04-28
2564-07-19 00:00:00,2021-07-19
2564-09-04 00:00:00,2021-09-04
2564-09-04 00:00:00,2021-09-04
31/5/2564,2021-05-31
2564-02-03 00:00:00,2021-02-03
16/3/2564,2021-03-16
243102,2022-08-02
243195,2022-11-03
242952,2022-03-05
243137,2022-09-06
243048,2022-06-09
243040,2022-06-01
243055,2022-06-16
243083,2022-07-14
243083,2022-07-14
243053,2022-06-14
243227,2022-12-05
243066,2022-06-27
243229,2022-12-07
243124,2022-08-24
242927,2022-02-08
243169,2022-10-08
242958,2022-03-11
243111,2022-08-11
242900,2022-01-12
243168,2022-10-07
2564-07-13 00:00:00,2021-07-13
2565-10-01 00:00:00,2022-10-01
2565-11-08 00:00:00,2022-11-08
2565-09-26 00:00:00,2022-09-26
2566-06-12 00:00:00,2023-06-12
2566-08-29 00:00:00,2023-08-29
2566-05-16 00:00:00,2023-05-16
2566-01-20 00:00:00,2023-01-20
2566-06-06 00:00:00,2023-06-06
2566-02-27 00:00:00,2023-02-27
2566-10-05 00:00:00,2023-10-05
2566-09-15 00:00:00,2023-09-15
2566-06-06 00:00:00,2023-06-06
2566-06-06 00:00:00,2023-06-06
17/12/2563,2020-12-17
2563-10-06 00:00:00,2020-10-06
2564-07-01 00:00:00,2021-07-01
2564-02-08 00:00:00,2021-02-08
2564-02-03 00:00:00,2021-02-03
2564-04-06 00:00:00,2021-04-06
2564-02-08 00:00:00,2021-02-08
242921,2022-02-02
242891,2022-01-03
242891,2022-01-03
27/6/2565,2022-06-27
2565-04-08 00:00:00,2022-04-08
2565-01-06 00:00:00,2022-01-06
27/6/2565,2022-06-27
17/5/2566,2023-05-17
31/7/2566,2023-07-31
2566-06-11 00:00:00,2023-06-11
18/4/2566,2023-04-18
2566-01-11 00:00:00,2023-01-11
2022-10-05 00:00:00,2022-10-05
2022-10-31 00:00:00,2022-10-31
2022-11-16 00:00:00,2022-11-16
2022-11-03 00:00:00,2022-11-03
2022-06-09 00:00:00,2022-06-09
2022-06-21 00:00:00,2022-06-21
2021-11-28 00:00:00,2022-11-28
2563-08-27 00:00:00,2020-08-27
2564-08-30 00:00:00,2021-08-30
2564-07-19 00:00:00,2021-07-19
2564-09-16 00:00:00,2021-09-16
2564-09-16 00:00:00,2021-09-16
2564-08-17 00:00:00,2021-08-17
2564-10-27 00:00:00,2021-10-27
2564-11-22 00:00:00,2021-11-22
2564-12-16 00:00:00,2021-12-16
2564-11-30 00:00:00,2021-11-30
2564-12-28 00:00:00,2021-12-28
2565-03-25 00:00:00,2022-03-25
2565-04-21 00:00:00,2022-04-21
2565-04-21 00:00:00,2022-04-21
2565-04-22 00:00:00,2022-04-22
2565-04-20 00:00:00,2022-04-20
2565-05-25 00:00:00,2022-05-25
2565-05-18 00:00:00,2022-05-18
2565-06-29 00:00:00,2022-06-29
2565-08-31 00:00:00,2022-08-31
2565-09-19 00:00:00,2022-09-19
2565-10-28 00:00:00,2022-10-28
2565-10-25 00:00:00,2022-10-25
2565-11-15 00:00:00,2022-11-15
2565-12-20 00:00:00,2022-12-20
2565-11-18 00:00:00,2022-11-18
2565-12-19 00:00:00,2022-12-19
2565-12-16 00:00:00,2022-12-16
2565-12-16 00:00:00,2022-12-16
27/5/2565,2022-05-27
243066,2022-06-27
243193,2022-11-01
28/1/2565,2022-01-28
242930,2022-02-11
242922,2022-02-03
2565-12-04 00:00:00,2022-12-04
29/04/2565,2022-04-29
28/4/2565,2022-04-28
26/8/2565,2022-08-26
15/9/2565,2022-09-15
21/11/2565,2022-11-21
31/10/2565,2022-10-31
243081,2022-07-12
29/04/2565,2022-04-29
22/12/2565,2022-12-22
22/12/2565,2022-12-22
29/12/2565,2022-12-29
2565-03-10 00:00:00,2022-03-10
2563-02-07 00:00:00,2020-02-07
2563-01-29 00:00:00,2020-01-29
2563-01-29 00:00:00,2020-01-29
2563-10-02 00:00:00,2020-10-02
2563-06-22 00:00:00,2020-06-22
